Field (Oe),Jc
0.0,70561040366.38065
100.0,70438063020.91241
200.0,70325920910.07497
300.0,69857078767.04634
400.0,69717905056.63712
500.0,69248231014.0776
600.0,68550934881.355034
700.0,68026899799.07919
800.0,67145784681.12275
900.0,66521757329.306335
1000.0,65933234627.83932
1100.0,65110640047.25367
1200.0,64459303796.021866
1300.0,63751983787.47025
1400.0,62891008854.453094
1500.0,62110717905.568115
1600.0,61377516578.27757
1700.0,60538530495.82393
1800.0,59836818106.33242
1900.0,58966969578.31907
2000.0,58131896504.77002
2100.0,57453138380.112434
2200.0,56623426436.87359
2300.0,55983705967.98055
2400.0,55281736819.374565
2500.0,54374175512.62735
2600.0,53764393156.48193
2700.0,53031725888.14948
2800.0,52435900957.46685
2900.0,51663158726.547386
3000.0,51123861882.507225
3100.0,50466312060.705154
3200.0,49898217114.38565
5193.939,
5224.242,
7187.879,
7248.485,
9181.818,
9272.728,
11175.76,
11296.97,
13169.7,
13321.21,
15163.64,
15345.45,
17157.58,
17369.7,
19151.52,
19393.94,
21145.46,
21418.18,
23139.39,
23442.42,
25133.33,
25466.67,
27127.27,
27490.91,
29121.21,
29515.15,
31115.15,
31539.39,
33109.09,
33563.64,
35103.03,
35587.88,
37096.97,
37612.12,
39090.91,
39636.36,
41084.85,
41660.61,
43078.79,
43684.85,
45072.73,
45709.09,
47066.67,
47733.33,
49060.61,
49757.57,
51054.55,
51781.82,
53048.48,
53806.06,
55042.43,
55830.3,
57036.36,
57854.55,
59030.3,
59878.79,
61024.24,
61903.03,
63018.18,
63927.27,
65012.12,
65951.52,
67006.06,
67975.76,
69000.0,
