[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1708683062.546000 2/23/2024, 11:11:02 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 72

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: WholeLoop_5K.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1708683062.546,,-7.000000e+004,4.995919e+000,2.769727e-002,0.000000e+000,2,9.850760e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,4.658699e-004,0.000000e+000,0,,0,
1708683206.234,,-6.797576e+004,4.998255e+000,-2.899531e-002,0.000000e+000,2,9.745762e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.271580e-003,0.000000e+000,0,,0,
1708683344.156,,-6.595152e+004,4.998302e+000,-3.043072e-002,0.000000e+000,2,9.744999e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.552437e-003,0.000000e+000,0,,0,
1708683481.734,,-6.392727e+004,4.998488e+000,-3.197484e-002,0.000000e+000,2,9.770368e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.057076e-003,0.000000e+000,0,,0,
1708683618.453,,-6.190303e+004,4.998489e+000,-3.328421e-002,0.000000e+000,2,9.764924e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.992153e-003,0.000000e+000,0,,0,
1708683761.140,,-5.987879e+004,4.998675e+000,-3.504508e-002,0.000000e+000,2,9.764524e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.805233e-003,0.000000e+000,0,,0,
1708683891.171,,-5.785455e+004,4.998348e+000,-3.675890e-002,0.000000e+000,2,9.768376e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.084660e-003,0.000000e+000,0,,0,
1708684033.390,,-5.583030e+004,4.997742e+000,-3.850629e-002,0.000000e+000,2,9.769469e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.551006e-003,0.000000e+000,0,,0,
1708684168.578,,-5.380606e+004,4.998396e+000,-4.039043e-002,0.000000e+000,2,9.770856e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,3.552914e-003,0.000000e+000,0,,0,
1708684302.531,,-5.178182e+004,4.998629e+000,-4.233626e-002,0.000000e+000,2,9.772037e-001,0.000000e+000,,,,,,,,,,,,,,64,1,4.000000e+000,2.712250e-003,0.000000e+000,0,,0,
