Field (Oe),Jc
-0.0,70561040366.38065
100.0,70525638419.67703
200.0,70175018443.3166
300.0,69914253886.6573
400.0,69623859328.18776
500.0,69052539487.39049
600.0,68488686201.64208
700.0,67995318427.99895
800.0,67354920115.04371
900.0,66699342203.24078
1000.0,65946062313.19841
1100.0,65211895571.63745
1200.0,64349380083.93347
1300.0,63826700689.782036
1400.0,62910163084.39283
1500.0,62035086940.80879
1600.0,61308910542.890236
1700.0,60508274001.77438
1800.0,59650215852.29765
1900.0,59008605636.322105
2000.0,58242775360.76426
2100.0,57447058324.28171
2200.0,56551852266.122955
2300.0,55964870119.34278
2400.0,55079533881.54439
2500.0,54512178401.47457
2600.0,53791024211.83512
2700.0,53081588508.180244
2800.0,52483586260.20688
2900.0,51750374662.55174
3000.0,51196452819.35118
3100.0,50487972259.60214
3200.0,50027120460.21593
5224.242,40349653758.0533
7248.485,34563381706.101234
9272.728,30716000431.184425
11296.97,27802667733.26391
13321.21,25612954112.48179
15345.45,23785014083.99284
17369.7,22307827546.60386
19393.94,21033860713.13837
21418.18,19827904233.914623
23442.42,18875573380.93135
25466.67,17925708442.48348
27490.91,17055037258.267363
29515.15,16206024218.875313
31539.39,15398040258.93967
33563.64,14573509714.630896
35587.88,13849612310.612411
37612.12,13104534333.722778
39636.36,12371073166.208384
41660.61,11669675049.872984
43684.85,10932366603.787321
45709.09,10309767859.68384
47733.33,9664504475.027552
49757.57,9038120074.540276
51781.82,8432773488.856498
53806.06,7848397960.606461
55830.3,7313487589.277971
57854.55,6746672330.385005
59878.79,6261011438.321909
61903.03,5779677450.855921
63927.27,5305042822.204774
65951.52,4777355598.284655
67975.76,4421770927.686752
